question,reponse
Comment récupérer mon identifiant ? ,Votre identifiant figure sur le contrat de souscription qui vous a été remis lors de votre souscription au service Attijarinet/Attijari Mobile. Vous pouvez récupérer votre identifiant en appelant le centre de relation client au +212522588855 une équipe dédiée disponible de 8h à 20h pour prendre en charge votre demande. 
Comment récupérer mon mot de passe? ,"Vous pouvez à tout moment réinitialiser votre mot de passe en cliquant sur ""Mot de passe oublié"", au niveau de l'écran d'accueil non connecté de votre application Attijari Mobile."
Comment bénéficier du service Attijari Mobile ?,"
L'accès à l'application est strictement réservé aux personnes ayant souscrit au service banque en ligne Attijarinet."
Comment souscrire au service Attijarinet?,La souscription se fait gratuitement auprès de votre agence.
Comment accéder à mon espace sécurisé Attijari Mobile?,"Pour accéder à votre espace sécurisé, vous devez être muni(e) de votre identifiant et de votre mot de passe. Votre identifiant vous a été remis lors de votre souscription au service Attijarinet. Quant au mot de passe, il vous a été envoyé par SMS lors de la souscription au service Attijarinet. En cas de non réception de ce dernier, ou d'oubli, nous vous remercions de procéder à la réinitialisation de votre mot de passe depuis l'écran de connexion Atijarinet ou Attijari Mobile."
J'ai changé de téléphone. Que dois-je faire ?,Vous devez installer de nouveau l'application Attijari Mobile.
Comment changer le mot de passe ?,"Vous pouvez à tout moment réinitialiser votre mot de passe en cliquant sur ""Mot de passe oublié"", au niveau de l'écran d'accueil non connecté de votre application Attijari Mobile."
Comment sécuriser les opérations sensibles?,"Les opérations sensibles telles que le virement sont sécurisées par un code à usage unique envoyé automatiquement par SMS sur votre mobile. Si le SMS n'est pas reçu au bout d'une minute, vous pouvez choisir de recevoir un appel vocal pour vous communiquer le code."
Quelles sont les mesures de sécurité à prendre?,Se référer à l'option sécurité du volet information.
Quels sont les tarifs des services Attijari Mobile ?,"Service Attijari Mobile : Gratuit, Consultation solde et historique :Gratuit, Virement compte Attijariwafa bank:Gratuit,Virement compte banque confrère:Tarif en vigueur appliqué au niveau de l'agence,Recharge de carte prépayée:Gratuit,Commande de chéquier:Gratuit,Cash express automatic (Mise à disposition sur GAB): 10 Dh pour une transaction entre 100 et 500Dh, 20 Dh pour une transaction entre 600 et 1000Dh,30 DH pour une transaction entre 1100 et 2000Dh,Souscription Attijarinet, Attijarimobile:Gratuit"
Quelles sont les fonctionnalités offertes par Attijari Mobile?,"Consultez votre solde en temps réel, l'historique des mouvements, la liste de vos cartes, vos portefeuilles titres, vos documents (relevés de compte, avis de virement en ligne, images chèques), votre fil d'actualités, effectuez des virements vers des comptes Attijariwafa bank ou des comptes confrères (normal, différé et permanent), suivez vos virements, gérez les bénéficiaires de virement, bénéficiez de la mise à disposition Cash Express Automatic, suivez les mises à disposition, rechargez vos cartes prépayées, suivez les recharges des cartes, gérez les cartes prépayées, commandez un chéquier et LCN, suivez vos commandes chéquier et LCN, effectuez une opposition sur carte en temps réel, réinitialisez votre mot de passe, accédez à la messagerie sécurisée, gérez le canal de réception des relevés bancaires, ajoutez des comptes en ligne, déclarez des comptes en transaction, simulez des crédits express et immobiliers, ouvrez un compte Bankalik, localisez les agences et les guichets automatiques bancaires Attijariwafa Bank, les agences Attijariwafa bank Europe, et les agences Wafa Cash. Avec les mêmes codes d'accès, accédez à Attijarinet (attijarinet.attijariwafa.com/particulier/) pour consulter les impayés chèques, prélèvements et crédits, les cours de bourse et des devises, ainsi que vos produits et services. Sur l'application mobile, découvrez les offres produits d'Attijariwafa bank, les contacts utiles et la FAQ."
Combien de comptes puis-je consulter?,"Vous pouvez consulter tous vos comptes Attijariwafa Bank enregistrés lors de la souscription à Attijarinet. Vous pouvez aussi ajouter vos comptes en ligne sur votre application Attijari Mobile sur la rubrique ""Gestion des comptes"" via le menu ""Paramètres""."
"Comment puis-je effectuer un virement, une recharge de carte ou une mise à disposition?",Il vous suffit de déclarer auprès de votre agence ou en ligne via l'application Attijari Mobile les comptes émetteurs de virements.
Comment avoir le code pour valider une opération ?,"Le code pour valider une opération est envoyé automatiquement par SMS sur votre mobile pour chaque transaction. Si vous ne recevez pas le code au bout d'une minute, un bouton ""Code par appel vocal"" s'affiche sur l'écran. En cliquant sur ce bouton, vous recevez un appel qui vous communiquera le code."
Quels sont les documents que je peux consulter?,"Vous pouvez consulter vos relevés de comptes, vos avis de virements et vos images chèques."
Sur quelle profondeur puis-je consulter ces documents?,"Vous pouvez consulter vos relevés de compte et vos avis de virements en ligne avec une profondeur d'une année, ainsi que vos images chèques émis et remis avec une profondeur de 3 mois."
Quels types de virements puis-je effectuer?,"Vous pouvez effectuer des virements normaux, différés ou permanents vers des comptes Attijariwafa bank ou des banques confrères."
Quelle est la date d'exécution du virement ?,"Le virement est instantané si la date d'exécution choisie est la date de saisie du virement. Autrement, le virement est différé et est exécuté le jour choisi."
Comment ajouter un bénéficiaire de virement?,"Vous pouvez ajouter vos bénéficiaires depuis le menu ""Virement"" en cliquant sur le bouton d'ajout de bénéficiaires à côté du champ ""Compte bénéficiaire""."
Comment ajouter une carte bénéficiaire Wajda?,"Vous pouvez ajouter des cartes depuis le menu ""Recharge des cartes Wajda"" en cliquant sur le bouton d'ajout de cartes Wajda à côté du champ ""Choisissez une carte""."
Quelles sont les cartes que je peux recharger en ligne ?,Vous pouvez recharger vos cartes Wajda ainsi que les cartes Wajda de vos bénéficiaires ajoutées préalablement en ligne.
"Comment un bénéficiaire peut-il effectuer le retrait sur GAB d'une mise à disposition ""Cash Exress Automatic""?","Pour effectuer le retrait sur GAB, vous devez communiquer au bénéficiaire de la mise à disposition: - le code confidentiel de 4 chiffres que vous avez saisi pour effectuer la transaction - la référence de 12 chiffres qui a été générée à la validation de la transaction Le bénéficiaire peut retirer cet argent sans carte à partir de tous les GAB Attijariwafa bank 24h/24 et 7j/7, et ce en appuyant sur le bouton « Service sans carte »."
Quel est le plafond d'une opération de cas express automatic?,Le plafond d'une opération est de 2000 DHS par transaction et de 20 000 DHS par an sans dépassement du plafond des transactions spécifié sur le contrat Attijarinet.
"e-Attijari, qu’est-ce que c’est?","Le service e-Attijari est un service de banque à distance vous permettant de consulter vos comptes, d’effectuer des opérations en temps réel et de bénéficier de nombreux services en ligne, 24h/24 et 7j/7."
Quelles sont les conditions de souscription?,Vous devez être âgé(e) de plus de 18 ans et détenir un ou plusieurs comptes courants actifs auprès d’Attijariwafa bank Europe en Belgique.
Comment puis-je y souscrire?,La souscription peut se faire en vous présentant à votre agence.
Combien coûte le service e-Attijari?,Le service e-Attijari est accessible gratuitement pour les particuliers et 6 euros/mois si vous êtes une entreprise.
Puis-je accéder au service e-Attijari depuis mon téléphone portable?,Le service e-Attijari est disponible sur plateforme web et application mobile. Vous pouvez télécharger l’application mobile sur Google Play Store ou App Store.
Quels sont les avantages de ce nouveau service?,"Cette nouvelle solution vous offre plusieurs avantages en termes de sécurité, confidentialité, facilité de gestion des opérations courantes, instantanéité et économie sur les frais bancaires."
Quelles sont les fonctionnalités disponibles via l’espace client web?,"La nouvelle offre e-Attijari propose une consultation riche et des services transactionnels tels que les virements, les transferts d'argent et la gestion des bénéficiaires, ainsi que d'autres services en ligne comme l'édition d'IBAN ou le changement de mot de passe."
Quelles sont les fonctionnalités disponibles via l’application mobile?,"L'application mobile permet la consultation des comptes, la réalisation de transactions en ligne, et offre d'autres services comme la visualisation et l'envoi d'un IBAN par mail, ainsi que le changement du mot de passe."
Comment puis-je accéder au service e-Attijari?,"Suite à la signature du contrat e-Attijari, vous recevrez votre identifiant par e-mail et un mot de passe provisoire par SMS. Lors de votre première connexion, vous définirez votre nouveau mot de passe."
"A ma première connexion, la modification du mot de passe est-elle obligatoire?","Oui, la modification du mot de passe est une étape nécessaire lors de la première connexion pour assurer votre sécurité."
Que faire en cas de perte ou de vol de mes codes d’accès?,"En cas de perte ou de vol de vos codes d’accès, contactez immédiatement votre conseiller en agence."
Est-ce que l’accès à mes comptes en ligne est sécurisé?,Attijariwafa bank Europe a mis en place plusieurs dispositifs pour garantir la sécurité de vos données sur le service e-Attijari.
Que dois-je faire si je ne reçois pas mon code à usage unique par SMS dans le cadre de la validation de mes transactions en ligne?,"Si vous ne recevez pas votre code à usage unique, tentez à nouveau de le recevoir en cliquant sur le bouton ""Confirmer et signer"". Après 3 tentatives échouées, contactez votre agence ou le Centre de Relation Client."
Quels sont les comptes consultables dans ma liste des comptes?,Vous pouvez consulter tous les comptes déclarés dans votre contrat lors de la souscription.
Comment sont traitées mes demandes de virements?,Les demandes de virements sont traitées en fonction du solde disponible du compte émetteur à la date d’échéance du virement.
Puis-je modifier mon mot de passe en ligne?,"Oui, vous pouvez modifier à tout moment votre mot de passe dans votre espace connecté."
Puis-je modifier mes informations personnelles en ligne?,"Non, vous pouvez modifier les informations déclarées dans votre contrat e-Attijari avec votre conseiller clientèle en agence."
Quelle est la durée de validité du service e-Attijari?,La souscription au service e-Attijari se fait pour une durée illimitée.
Comment puis-je résilier le service e-Attijari?,La résiliation du service e-Attijari peut se faire à tout moment en agence.
Où sont cotées les actions d'Attijariwafa Bank?,Les actions d'Attijariwafa Bank sont cotées à la Bourse de Casablanca au Maroc.
Quels sont le code ISIN et les symboles Reuters et Bloomberg de l'action Attijariwafa Bank?,ISIN : MA0000011926 Code Bloomberg : ATW:MC Code Reuters : ATW.CS
Combien d'actions constituent le capital d'Attijariwafa Bank? Quelle est la valeur nominale?,"Au mois de décembre 2022, le capital d'Attijariwafa Bank s'élevait à 2 151 408 390 MAD et était composé de 215 140 839 actions d'une valeur nominale de 10 MAD."
Quel type d'actions Attijariwafa Bank a-t-elle émis?,Attijariwafa Bank a émis des actions ordinaires nominatives.
Comment puis-je obtenir une copie du rapport de gestion? Rapport annuel?,Veuillez contacter le département de communication financière et des relations investisseurs par e-mail à l'adresse : ir@attijariwafa.com
Quand Attijariwafa Bank publie-t-elle ses résultats financiers?,"Attijariwafa Bank publie trimestriellement ses résultats financiers tous les trois mois (mars, juin, septembre et décembre)"
Quelle est la base de préparation des états financiers d'Attijariwafa Bank?,Les états financiers consolidés d'Attijariwafa Bank ont été préparés selon les normes internationales d'information financière (IFRS) depuis le premier semestre 2007 avec un solde d'ouverture au 1er janvier 2006.
Quelle est la devise de présentation des états financiers d'Attijariwafa Bank?,MAD : Dirham marocain
Qui est l'auditeur indépendant d'Attijariwafa Bank?,Deloitte Mazars
Tout actionnaire peut-il participer à l'Assemblée Générale Annuelle?,Tous les actionnaires ont le droit de participer à l'assemblée générale des actionnaires.
Comment et où les actionnaires peuvent-ils s'inscrire pour assister à l'Assemblée Générale Annuelle?,"Pour assister aux Assemblées Générales des Actionnaires, les actionnaires doivent s'inscrire au registre des actions nominatives ou produire un certificat attestant du dépôt de leurs actions auprès d'un dépositaire agréé avant l'expiration d'une période de cinq jours précédant la réunion."
Qu'est-ce qu'un droit de vote?,"Le droit de vote est l'un des droits accordés à l'actionnaire d'une société cotée ou non cotée. Une action ordinaire donne droit à un vote, que l'actionnaire peut exercer lors des différentes assemblées générales d'une société. Le droit de vote permet à l'actionnaire de participer aux décisions, notamment aux décisions stratégiques."
Comment puis-je exercer mes droits de vote si je ne peux pas assister à l'AGA?,"L'actionnaire qui ne peut pas assister à l'AGA peut se faire représenter par une autre personne en retournant le formulaire de vote attaché au ""Back Office des Valeurs Mobilières"" situé à l'adresse suivante : ""Angle rues Dar El Koutni et rue Al Jounaid, Maârif Extension, Casablanca"" ou par fax au 00 212 5 22 99 21 08. Le formulaire joint confère le pouvoir de remplir les formalités requises."
Quel était le montant du dernier paiement de dividendes et quand était la date de paiement?,"Le dividende était de 15,50 MAD par action pour l'exercice 2022, qui sera payé le 4 juillet 2023. Chaque actionnaire aura la possibilité de recevoir le paiement en espèces ou de convertir tout ou partie du dividende en actions de la société."
Comment puis-je recevoir le paiement des dividendes?,Le dividende sera automatiquement transféré sur votre compte bancaire.
Comment accéder à mon espace sécurisé Attijarinet?,"Pour accéder à votre espace sécurisé, vous devez être muni(e) de votre identifiant et de votre mot de passe. Votre identifiant vous a été remis lors de votre souscription au service Attijarinet. Quant au mot de passe, il vous a été envoyé par SMS lors de la souscription au service Attijarinet. En cas de non réception de ce dernier, ou d’oubli, nous vous remercions de procéder au recalcul de votre mot de passe depuis l’écran de connexion Atijarinet ou Attijari Mobile"
